Key,en,id,es,pt,sw,fr,mg
buttons.readNews,Read news,Baca berita,Leer noticias,Ler notícias,Soma habari,,
buttons.seeLess,See less,Lihat lebih sedikit,Ver menos,Ver menos,Tazama kidogo,Voir moins,Hijery kely kokoa
buttons.seeMore,See more,Lihat selengkapnya,Ver más,Ver mais,Ona zaidi,Voir plus,Hijery bebe kokoa
default.accept,Accept,Terima,Aceptar,Aceitar,Kubali,Accepter,Ekena
default.areaSize,Area Size,Ukuran Area,Area Size,Tamanho da Área,Ukubwa wa Eneo,Taille de la zone,Haben'ny faritra
default.cancel,Cancel,Batal,Cancelar,Cancelar,Ghairi,Annuler,Foanana
default.close,Close,Tutup,Cerca,Fechar,Funga,Fermer,Akatona
default.contactAdministrator,Contact Administrator,Hubungi Administrator,Contact Administrator,Contatar Administrador,Wasiliana na Msimamizi,Contacter l'administrateur,Hifandray amin'ny mpandrindra
default.create,Create,Buat,Crear,Criar,Unda,Créer,Hamorona kaonty
default.delete,Delete,Hapus,Borrar,Excluir,Futa,Supprimer,Hamafa
default.description,Description,Deskripsi,Description,Descrição,Maelezo,Description,Famaritana
default.downloadData,Download Data,Unduh Data,Descargar datos,Baixar dados,Pakua Data,Télécharger les données,Hisintona ny angona
default.downloadSummary,Download Summary,Unduh Ringkasan,,,,,
default.downloadSurveyFile,Download survey,Unduh survei,Download survey,Baixar questionário,Pakua utafiti,Télécharger l'enquête,Hisintona ny fanadihadiana
default.filters.popup.title,,,,,,,
default.finalized,Finalized,Selesai,Finalizado,Finalizado,Imekamilika,Finalisé,Vita tanteraka
default.flag,Flag,Tandai,Flag,Sinalizar,Flag,Signaler,Hampandre
default.generateReport,Generate Report,Buat Laporan,Generate Report,Gerar Relatório,Toa Ripoti,Générer un rapport,Hamorona tatitra
default.no,No,Tidak,No,Não,Hapana,Non,Tsia
default.noresults,No results,Tidak ada hasil,No hay resultados,Nenhum resultado,Hakuna matokeo,Aucun résultat,Tsy misy vokatra
default.numberCounter.decrease,Decrease value,Kurangi nilai,Disminuir valor,Diminuir valor,Punguza thamani,Diminuer la valeur,Ampihena ny sandany
default.numberCounter.increase,Increase value,Tambah nilai,Aumentar valor,Aumentar valor,Ongeza thamani,Augmenter la valeur,Ampitomboy ny sandany
default.numberCounter.value,Number value,Nilai angka,Valor numérico,Valor numérico,Thamani ya nambari,Valeur numérique,Sanda isa
default.published,Published,Dipublikasikan,Publicado,Publicados,Imechapishwa,Publié,Efa nivoaka
default.required,Required,Wajib,Required,Obrigatório,Inahitajika,Obligatoire,Tsy maintsy atao
default.save.autosave,Data saved,Data tersimpan,Datos guardados,Dados salvos,Data imehifadhiwa,Données sauvegardées,Angona voatahiry
default.submit,Submit,Kirim,Entregar,Enviar,Wasilisha,Envoyer,Alefa
default.upload-file.buttons.clear,Clear,Hapus,Claro,Excluir,Wazi,Effacer,Hamafa
default.upload-file.buttons.select,Select a file,Pilih file,Seleccione un archivo,Selecione um arquivo,Chagua faili,Sélectionnez un fichier,Hisafidy rakitra iray
default.upload-file.placeholder,Drag and drop a PDF file here,Seret dan letakkan file PDF di sini,Arrastre y suelte un archivo PDF aquí,Arraste e solte um arquivo PDF aqui,Buruta na udondoshe faili ya PDF hapa,Glissez-déposez un fichier PDF ici,Sintony sy alatsaho eto ny rakitra PDF
default.upload-import-file.buttons.clear,Delete,Hapus,Eliminar,Excluir,Wazi,Supprimer,Fafao
default.upload-import-file.buttons.select,Select a file,Pilih file,Selecciona un archivo,Selecione um arquivo,Chagua faili,Sélectionnez un fichier,Misafidiana rakitra
default.upload-import-file.placeholder,Drag and drop a zip file here.,Seret dan letakkan file zip di sini.,Arrastra y suelta un archivo zip aquí.,Arraste e solte um arquivo zip aqui,Buruta na udondoshe faili ya zip hapa,Glissez-déposez un fichier zip ici.,Tariho ary apetraho eto ny rakitra zip.
default.upload-mapimage.buttons.clear,Clear,Hapus,Claro,Excluir,Wazi,Effacer,Hamafa
default.upload-mapimage.buttons.select,Select a file,Pilih berkas,Seleccione un archivo,Selecione um arquivo,Chagua faili,Sélectionnez un fichier,Hisafidy rakitra iray
default.upload-mapimage.placeholder,Drag and drop an image file here,Seret dan letakkan berkas gambar di sini,Arrastre y suelte un archivo de imagen aquí,Arraste e solte um arquivo de imagem aqui,Buruta na udondoshe faili ya picha hapa,Glissez et déposez un fichier image ici,Sintony sy alatsaho eto ny rakitra sary
default.uploadSurveyFile,Upload survey,Unggah survei,Upload survey,Enviar questionário,Pakia utafiti,Téléverser l'enquête,Hampiditra fanadihadiana
default.version,Version,Versi,Version,Versão,Toleo,Version,Endriny
default.yes,Yes,Ya,Sí,Sim,Ndiyo,Oui,Eny
footer.copyright,© Copyright,© Hak Cipta,© Derechos de autor,© direito autoral,© Hakimiliki,FAUX,DISO
